Block,Trial,V3,CueDirection,Condition,Level,V7,V8,V9,V10,V11,V12,V13,long,V15,V16,V17,V18,V19,V20,V21,SubID,BlockID
1,38,1,right,1,600,0,0,0,16,0,0,0,1,1,1,1,1,0,1,0,1,1
1,39,1,left,1,450,0,0,0,4,0,0,0,0,2,1,1,1,0,1,0,1,1
1,40,1,left,1,900,0,0,0,6,0,0,0,0,2,1,1,1,0,1,0,1,1
1,41,1,left,1,1050,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1
1,42,1,right,1,150,0,0,0,12,0,0,0,0,2,1,1,1,0,1,0,1,1
1,43,1,left,1,750,0,0,0,37,0,0,0,0,2,1,1,1,0,1,0,1,1
1,44,1,left,1,600,0,0,0,35,0,0,0,1,1,1,1,1,0,1,0,1,1
1,45,1,left,1,1050,0,0,0,33,0,0,0,1,1,1,1,1,0,1,0,1,1
1,46,1,right,1,1050,0,0,0,28,0,0,0,1,1,0,1,1,0,1,0,1,1
1,47,1,left,1,450,0,0,0,27,0,0,0,0,2,1,1,1,0,1,0,1,1
1,48,1,left,1,900,0,0,0,16,0,0,0,1,1,1,1,1,0,1,0,1,1
1,49,1,right,1,750,0,0,0,27,0,0,0,1,1,1,1,1,0,1,0,1,1
1,50,1,right,1,900,0,0,0,18,0,0,0,1,1,1,1,1,0,1,0,1,1
1,51,1,left,1,750,0,0,0,10,0,0,0,0,2,1,1,1,0,1,0,1,1
1,52,1,right,1,750,0,0,0,24,0,0,0,1,1,1,1,1,0,1,0,1,1
1,53,1,right,1,1050,0,0,0,6,0,0,0,0,2,1,1,1,0,1,0,1,1
1,54,1,left,1,1050,0,0,0,29,0,0,0,1,1,1,1,1,0,1,0,1,1
1,55,1,left,1,150,0,0,0,32,0,0,0,0,2,1,1,1,0,1,0,1,1
1,56,1,right,1,450,0,0,0,35,0,0,0,0,2,1,1,1,0,1,0,1,1
1,57,1,right,1,750,0,0,0,18,0,0,0,0,2,1,1,1,0,1,0,1,1
1,58,1,right,1,150,0,0,0,30,0,0,0,0,2,1,1,1,0,1,0,1,1
1,59,1,right,1,750,0,0,0,4,0,0,0,0,2,1,1,1,0,1,0,1,1
1,60,1,left,1,750,0,0,0,24,0,0,0,1,1,1,1,1,0,1,0,1,1
1,61,1,right,1,750,0,0,0,5,0,0,0,1,1,1,1,1,0,1,0,1,1
1,62,1,left,1,450,0,0,0,21,0,0,0,1,1,1,1,1,0,1,0,1,1
1,63,1,right,1,150,0,0,0,29,0,0,0,0,2,1,1,1,0,1,0,1,1
1,64,1,left,1,300,0,0,0,25,0,0,0,0,2,1,1,1,0,1,0,1,1
1,65,1,right,1,1050,0,0,0,31,0,0,0,1,1,1,1,1,0,1,0,1,1
1,66,1,left,1,300,0,0,0,22,0,0,0,0,2,1,1,1,0,1,0,1,1
1,67,1,right,1,750,0,0,0,1,0,0,0,0,2,1,1,1,0,1,0,1,1
1,68,1,left,1,900,0,0,0,31,0,0,0,1,1,1,1,1,0,1,0,1,1
1,69,1,left,1,750,0,0,0,31,0,0,0,1,1,1,1,1,0,1,0,1,1
1,70,1,right,1,1050,0,0,0,8,0,0,0,1,1,1,1,1,0,1,0,1,1
1,71,1,left,1,1050,0,0,0,23,0,0,0,1,1,1,1,1,0,1,0,1,1
1,72,1,right,1,300,0,0,0,22,0,0,0,0,2,1,1,1,0,1,0,1,1
1,73,1,left,1,900,0,0,0,26,0,0,0,1,1,1,1,1,0,1,0,1,1
1,74,1,right,1,300,0,0,0,11,0,0,0,0,2,1,1,1,0,1,0,1,1
1,75,1,right,1,750,0,0,0,17,0,0,0,1,1,1,1,1,0,1,0,1,1
1,76,1,right,1,300,0,0,0,28,0,0,0,0,2,1,1,1,0,1,0,1,1
1,77,1,right,1,600,0,0,0,18,0,0,0,0,2,1,1,1,0,1,0,1,1
1,78,1,right,1,900,0,0,0,28,0,0,0,1,1,1,1,1,0,1,0,1,1
1,79,1,left,1,150,0,0,0,14,0,0,0,0,2,1,1,1,0,1,0,1,1
1,80,1,right,1,150,0,0,0,12,0,0,0,0,2,1,1,1,0,1,0,1,1
1,81,1,left,1,1050,0,0,0,16,0,0,0,0,2,1,1,1,0,1,0,1,1
1,82,1,right,1,450,0,0,0,18,0,0,0,0,2,1,1,1,0,1,0,1,1
1,83,1,right,1,300,0,0,0,25,0,0,0,0,2,1,1,1,0,1,0,1,1
1,84,1,left,1,150,0,0,0,20,0,0,0,0,2,1,1,1,0,1,0,1,1
1,85,1,left,1,300,0,0,0,36,0,0,0,0,2,1,1,1,0,1,0,1,1
1,86,1,left,1,300,0,0,0,24,0,0,0,0,2,1,1,1,0,1,0,1,1
1,87,1,left,1,750,0,0,0,26,0,0,0,0,2,1,1,1,0,1,0,1,1
1,88,1,right,1,150,0,0,0,17,0,0,0,0,2,1,1,1,0,1,0,1,1
1,89,1,left,1,900,0,0,0,5,0,0,0,0,2,1,1,1,0,1,0,1,1
1,90,1,right,1,750,0,0,0,14,0,0,0,0,2,1,1,1,0,1,0,1,1
1,91,1,right,1,1050,0,0,0,2,0,0,0,1,1,1,1,1,0,1,0,1,1
1,92,1,right,1,600,0,0,0,12,0,0,0,1,1,1,1,1,0,1,0,1,1
1,93,1,right,1,1050,0,0,0,30,0,0,0,1,1,1,1,1,0,1,0,1,1
1,94,1,right,1,150,0,0,0,34,0,0,0,0,2,1,1,1,0,1,0,1,1
1,95,1,left,1,600,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1
1,96,1,left,1,900,0,0,0,9,0,0,0,1,1,1,1,1,0,1,0,1,1
1,97,1,left,1,300,0,0,0,12,0,0,0,0,2,1,1,1,0,1,0,1,1
1,98,1,left,1,450,0,0,0,28,0,0,0,0,2,1,1,1,0,1,0,1,1
1,99,1,left,1,750,0,0,0,29,0,0,0,0,2,1,1,1,0,1,0,1,1
1,100,1,left,1,1050,0,0,0,3,0,0,0,0,2,1,1,1,0,1,0,1,1
1,101,1,left,1,750,0,0,0,8,0,0,0,0,2,1,1,1,0,1,0,1,1
1,102,1,left,1,450,0,0,0,14,0,0,0,1,1,1,1,1,0,1,0,1,1
1,103,1,right,1,450,0,0,0,26,0,0,0,0,2,1,1,1,0,1,0,1,1
1,104,1,right,1,1050,0,0,0,6,0,0,0,0,2,0,1,1,0,1,0,1,1
1,105,1,left,1,450,0,0,0,23,0,0,0,0,2,1,1,1,0,1,0,1,1
1,106,1,left,1,600,0,0,0,28,0,0,0,1,1,1,1,1,0,1,0,1,1
1,107,1,right,1,600,0,0,0,33,0,0,0,0,2,1,1,1,0,1,0,1,1
1,108,1,left,1,450,0,0,0,15,0,0,0,0,2,1,1,1,0,1,0,1,1
1,109,1,right,1,300,0,0,0,13,0,0,0,0,2,1,1,1,0,1,0,1,1
1,110,1,right,1,600,0,0,0,33,0,0,0,0,2,1,1,1,0,1,0,1,1
1,111,1,left,1,150,0,0,0,10,0,0,0,0,2,1,1,1,0,1,0,1,1
1,112,1,right,1,600,0,0,0,21,0,0,0,0,2,1,1,1,0,1,0,1,1
1,113,1,right,1,750,0,0,0,19,0,0,0,1,1,1,1,1,0,1,0,1,1
1,114,1,right,1,450,0,0,0,26,0,0,0,0,2,1,1,1,0,1,0,1,1
1,115,1,left,1,300,0,0,0,13,0,0,0,0,2,1,1,1,0,1,0,1,1
1,116,1,right,1,450,0,0,0,12,0,0,0,0,2,1,1,1,0,1,0,1,1
1,117,1,right,1,900,0,0,0,20,0,0,0,1,1,1,1,1,0,1,0,1,1
1,118,1,left,1,600,0,0,0,20,0,0,0,1,1,1,1,1,0,1,0,1,1
1,119,1,right,1,750,0,0,0,22,0,0,0,1,1,1,1,1,0,1,0,1,1
1,120,1,right,1,600,0,0,0,3,0,0,0,1,1,1,1,1,0,1,0,1,1
1,121,1,right,1,900,0,0,0,3,0,0,0,1,1,1,1,1,0,1,0,1,1
1,122,1,right,1,300,0,0,0,24,0,0,0,0,2,1,1,1,0,1,0,1,1
1,123,1,right,1,600,0,0,0,20,0,0,0,1,1,0,1,1,0,1,0,1,1
1,124,1,right,1,1050,0,0,0,24,0,0,0,1,1,1,1,1,0,1,0,1,1
1,125,1,left,1,150,0,0,0,27,0,0,0,0,2,1,1,1,0,1,0,1,1
1,126,1,right,1,450,0,0,0,24,0,0,0,0,2,1,1,1,0,1,0,1,1
1,127,1,right,1,600,0,0,0,13,0,0,0,1,1,1,1,1,0,1,0,1,1
1,128,1,left,1,600,0,0,0,4,0,0,0,0,2,1,1,1,0,1,0,1,1
1,129,1,right,1,900,0,0,0,29,0,0,0,1,1,0,1,1,0,1,0,1,1
1,130,1,left,1,450,0,0,0,10,0,0,0,0,2,1,1,1,0,1,0,1,1
1,131,1,right,1,300,0,0,0,37,0,0,0,0,2,1,1,1,0,1,0,1,1
1,132,1,right,1,150,0,0,0,29,0,0,0,0,2,1,1,1,0,1,0,1,1
1,133,1,right,1,150,0,0,0,2,0,0,0,0,2,1,1,1,0,1,0,1,1
1,134,1,left,1,150,0,0,0,2,0,0,0,0,2,1,1,1,0,1,0,1,1
1,135,1,right,1,900,0,0,0,16,0,0,0,1,1,1,1,1,0,1,0,1,1
1,136,1,right,1,300,0,0,0,24,0,0,0,0,2,1,1,1,0,1,0,1,1
1,137,1,right,1,450,0,0,0,30,0,0,0,1,1,1,1,1,0,1,0,1,1
1,138,1,right,1,300,0,0,0,22,0,0,0,0,2,1,1,1,0,1,0,1,1
1,139,1,left,1,150,0,0,0,1,0,0,0,0,2,1,1,1,0,1,0,1,1
1,140,1,left,1,450,0,0,0,37,0,0,0,0,2,1,1,1,0,1,0,1,1
1,24,1,right,1,900,0,0,0,33,0,0,0,1,1,1,1,1,0,1,0,1,1
1,46,1,right,1,1050,0,0,0,28,0,0,0,1,1,1,1,1,0,1,0,1,1
1,104,1,right,1,1050,0,0,0,6,0,0,0,1,1,1,1,1,0,1,0,1,1
1,123,1,right,1,600,0,0,0,20,0,0,0,1,1,1,1,1,0,1,0,1,1
1,129,1,right,1,900,0,0,0,29,0,0,0,1,1,1,1,1,0,1,0,1,1
2,1,1,right,2,300,0,0,0,21,0,0,0,0,2,1,1,1,0,1,0,1,2
2,2,1,left,2,1050,0,0,0,18,0,0,0,1,1,1,1,1,0,1,0,1,2
2,3,1,left,2,750,0,0,0,12,0,0,0,0,2,1,1,1,0,1,0,1,2
2,4,1,right,2,300,0,0,0,29,0,0,0,0,2,1,1,1,0,1,0,1,2
2,5,1,right,2,900,0,0,0,10,0,0,0,1,1,1,1,1,0,1,0,1,2
2,6,1,right,2,750,0,0,0,16,0,0,0,0,2,1,1,1,0,1,0,1,2
2,7,1,right,2,600,0,0,0,19,0,0,0,0,2,1,1,1,0,1,0,1,2
2,8,1,right,2,300,0,0,0,26,0,0,0,0,2,1,1,1,0,1,0,1,2
2,9,1,left,2,1050,0,0,0,3,0,0,0,1,1,1,1,1,0,1,0,1,2
2,10,1,right,2,450,0,0,0,10,0,0,0,1,1,0,1,0,1,0,0,1,2
2,11,1,right,2,750,0,0,0,12,0,0,0,0,2,1,1,1,0,1,0,1,2
2,12,1,left,2,900,0,0,0,12,0,0,0,0,2,1,1,1,0,1,0,1,2
2,13,1,left,2,300,0,0,0,36,0,0,0,0,2,1,1,1,0,1,0,1,2
2,14,1,right,2,150,0,0,0,30,0,0,0,0,2,1,1,1,0,1,0,1,2
2,15,1,left,2,300,0,0,0,23,0,0,0,0,2,1,1,1,0,1,0,1,2
2,16,1,right,2,900,0,0,0,21,0,0,0,0,2,1,1,1,0,1,0,1,2
2,17,1,left,2,900,0,0,0,24,0,0,0,1,1,1,1,1,0,1,0,1,2
2,18,1,left,2,600,0,0,0,30,0,0,0,0,2,1,1,1,0,1,0,1,2
2,19,1,right,2,600,0,0,0,34,0,0,0,0,2,1,1,1,0,1,0,1,2
2,20,1,right,2,150,0,0,0,10,0,0,0,0,2,1,1,1,0,1,0,1,2
2,21,1,left,2,600,0,0,0,10,0,0,0,0,2,1,1,1,0,1,0,1,2
2,22,1,left,2,750,0,0,0,9,0,0,0,0,2,0,1,1,0,1,0,1,2
2,23,1,right,2,900,0,0,0,7,0,0,0,0,2,1,1,1,0,1,0,1,2
2,24,1,right,2,750,0,0,0,20,0,0,0,0,2,1,1,1,0,1,0,1,2
2,25,1,right,2,1050,0,0,0,15,0,0,0,0,2,1,1,1,0,1,0,1,2
2,26,1,right,2,450,0,0,0,22,0,0,0,0,2,1,1,1,0,1,0,1,2
2,27,1,left,2,1050,0,0,0,34,0,0,0,0,2,1,1,1,0,1,0,1,2
2,28,1,right,2,900,0,0,0,2,0,0,0,0,2,1,1,1,0,1,0,1,2
2,29,1,right,2,1050,0,0,0,24,0,0,0,0,2,1,1,1,0,1,0,1,2
2,30,1,left,2,150,0,0,0,21,0,0,0,0,2,1,1,1,0,1,0,1,2
2,31,1,left,2,150,0,0,0,18,0,0,0,0,2,1,1,1,0,1,0,1,2
2,32,1,right,2,750,0,0,0,16,0,0,0,0,2,1,1,1,0,1,0,1,2
2,33,1,right,2,450,0,0,0,10,0,0,0,0,2,1,1,1,0,1,0,1,2
2,34,1,right,2,750,0,0,0,37,0,0,0,0,2,1,1,1,0,1,0,1,2
2,35,1,left,2,900,0,0,0,37,0,0,0,1,1,1,1,1,0,1,0,1,2
2,36,1,left,2,750,0,0,0,13,0,0,0,0,2,1,1,1,0,1,0,1,2
2,37,1,left,2,300,0,0,0,21,0,0,0,0,2,1,1,1,0,1,0,1,2
2,38,1,left,2,600,0,0,0,27,0,0,0,0,2,1,1,1,0,1,0,1,2
2,39,1,right,2,900,0,0,0,33,0,0,0,0,2,1,1,1,0,1,0,1,2
2,40,1,right,2,600,0,0,0,16,0,0,0,0,2,1,1,1,0,1,0,1,2
2,41,1,right,2,450,0,0,0,24,0,0,0,0,2,1,1,1,0,1,0,1,2
2,42,1,right,2,300,0,0,0,22,0,0,0,0,2,1,1,1,0,1,0,1,2
2,43,1,left,2,450,0,0,0,19,0,0,0,0,2,1,1,1,0,1,0,1,2
2,44,1,left,2,300,0,0,0,16,0,0,0,0,2,0,1,1,0,1,0,1,2
2,45,1,left,2,750,0,0,0,22,0,0,0,0,2,1,1,1,0,1,0,1,2
2,46,1,left,2,450,0,0,0,2,0,0,0,0,2,1,1,1,0,1,0,1,2
2,47,1,left,2,1050,0,0,0,36,0,0,0,0,2,1,1,1,0,1,0,1,2
2,48,1,left,2,450,0,0,0,17,0,0,0,0,2,1,1,1,0,1,0,1,2
2,49,1,left,2,150,0,0,0,1,0,0,0,0,2,1,1,1,0,1,0,1,2
2,50,1,left,2,900,0,0,0,28,0,0,0,1,1,1,1,1,0,1,0,1,2
2,51,1,right,2,1050,0,0,0,34,0,0,0,0,2,1,1,1,0,1,0,1,2
2,52,1,right,2,150,0,0,0,18,0,0,0,0,2,1,1,1,0,1,0,1,2
2,53,1,left,2,900,0,0,0,28,0,0,0,0,2,1,1,1,0,1,0,1,2
2,54,1,right,2,300,0,0,0,34,0,0,0,0,2,0,1,1,0,1,0,1,2
2,55,1,left,2,900,0,0,0,16,0,0,0,1,1,1,1,1,0,1,0,1,2
2,56,1,right,2,150,0,0,0,4,0,0,0,0,2,0,1,1,0,1,0,1,2
2,57,1,right,2,1050,0,0,0,2,0,0,0,1,1,1,1,1,0,1,0,1,2
2,58,1,left,2,300,0,0,0,30,0,0,0,0,2,1,1,1,0,1,0,1,2
2,59,1,right,2,600,0,0,0,19,0,0,0,0,2,1,1,1,0,1,0,1,2
2,60,1,left,2,300,0,0,0,25,0,0,0,0,2,1,1,1,0,1,0,1,2
2,61,1,right,2,900,0,0,0,7,0,0,0,1,1,1,1,1,0,1,0,1,2
2,62,1,left,2,150,0,0,0,5,0,0,0,0,2,1,1,1,0,1,0,1,2
2,63,1,right,2,150,0,0,0,3,0,0,0,0,2,1,1,1,0,1,0,1,2
2,64,1,left,2,150,0,0,0,16,0,0,0,0,2,1,1,1,0,1,0,1,2
2,65,1,right,2,300,0,0,0,29,0,0,0,0,2,1,1,1,0,1,0,1,2
2,66,1,right,2,600,0,0,0,7,0,0,0,0,2,1,1,1,0,1,0,1,2
2,67,1,right,2,150,0,0,0,16,0,0,0,0,2,1,1,1,0,1,0,1,2
2,68,1,left,2,900,0,0,0,9,0,0,0,1,1,1,1,1,0,1,0,1,2
2,69,1,right,2,600,0,0,0,37,0,0,0,0,2,1,1,1,0,1,0,1,2
2,70,1,right,2,450,0,0,0,11,0,0,0,0,2,1,1,1,0,1,0,1,2
2,71,1,left,2,1050,0,0,0,34,0,0,0,1,1,1,1,1,0,1,0,1,2
2,72,1,right,2,1050,0,0,0,3,0,0,0,1,1,0,1,1,0,1,0,1,2
2,73,1,right,2,600,0,0,0,17,0,0,0,0,2,1,1,1,0,1,0,1,2
2,74,1,right,2,1050,0,0,0,33,0,0,0,1,1,1,1,1,0,1,0,1,2
2,75,1,left,2,900,0,0,0,33,0,0,0,1,1,1,1,1,0,1,0,1,2
2,76,1,right,2,150,0,0,0,5,0,0,0,0,2,1,1,1,0,1,0,1,2
2,77,1,right,2,900,0,0,0,9,0,0,0,0,2,1,1,1,0,1,0,1,2
2,78,1,right,2,750,0,0,0,6,0,0,0,0,2,1,1,1,0,1,0,1,2
2,79,1,left,2,1050,0,0,0,32,0,0,0,1,1,1,1,1,0,1,0,1,2
2,80,1,right,2,750,0,0,0,18,0,0,0,0,2,1,1,1,0,1,0,1,2
2,81,1,left,2,1050,0,0,0,20,0,0,0,1,1,1,1,1,0,1,0,1,2
2,82,1,left,2,750,0,0,0,3,0,0,0,1,1,1,1,1,0,1,0,1,2
2,83,1,left,2,150,0,0,0,5,0,0,0,0,2,1,1,1,0,1,0,1,2
2,84,1,right,2,750,0,0,0,32,0,0,0,0,2,1,1,1,0,1,0,1,2
2,85,1,left,2,300,0,0,0,34,0,0,0,0,2,1,1,1,0,1,0,1,2
2,86,1,right,2,750,0,0,0,2,0,0,0,0,2,1,1,1,0,1,0,1,2
2,87,1,left,2,600,0,0,0,36,0,0,0,0,2,1,1,1,0,1,0,1,2
